County,Date,Temperature,Precipitation,Wind,Gust Wind
Mendocino,2013-03,50.53,0.0,3.57,0.75
Mendocino,2013-04,58.03,0.0,6.09,2.81
Mendocino,2013-05,61.47,0.0,5.75,2.49
Mendocino,2013-06,65.03,0.0,5.2,1.5
Mendocino,2013-07,61.66,0.0,5.1,0.16
Mendocino,2013-08,63.23,0.0,4.09,0.18
Mendocino,2013-09,63.46,0.0,4.54,1.43
Mendocino,2013-10,55.42,0.0,3.64,1.11
Mendocino,2013-11,51.89,0.0,3.42,1.57
Mendocino,2013-12,41.39,0.0,2.72,0.35
Mendocino,2014-01,46.06,0.0,2.6,0.3
Mendocino,2014-02,49.66,0.0,4.2,0.39
Mendocino,2014-03,53.16,0.03,4.78,1.08
Mendocino,2014-04,55.46,0.05,4.61,0.88
Mendocino,2014-05,62.77,0.0,6.34,2.07
Mendocino,2014-06,64.25,0.0,5.89,0.9
Mendocino,2014-07,64.44,0.0,4.77,0.34
Mendocino,2014-08,63.35,0.0,4.51,0.14
Mendocino,2014-09,62.35,0.03,3.41,0.15
Mendocino,2014-10,60.98,0.01,3.0,0.46
Mendocino,2014-11,52.88,0.06,2.13,0.14
Mendocino,2014-12,51.27,0.39,3.75,1.36
Mendocino,2015-01,46.06,0.0,1.25,0.0
Mendocino,2015-02,52.58,0.15,3.99,2.69
Mendocino,2015-03,54.73,0.0,3.13,0.39
Mendocino,2015-04,55.77,0.05,5.3,1.48
Mendocino,2015-05,56.45,0.0,4.91,0.93
Mendocino,2015-06,63.52,0.0,4.89,0.4
Mendocino,2015-07,66.0,0.0,5.02,0.33
Mendocino,2015-08,66.37,0.0,4.16,0.37
Mendocino,2015-09,62.53,0.01,3.28,0.36
Mendocino,2015-10,62.2,0.0,3.18,0.36
Mendocino,2015-11,48.61,0.03,4.26,1.25
Mendocino,2015-12,46.58,0.2,4.14,1.22
Mendocino,2016-01,49.39,0.29,4.09,0.93
Mendocino,2016-02,52.57,0.03,3.85,0.49
Mendocino,2016-03,53.61,0.32,5.54,1.77
Mendocino,2016-04,58.1,0.04,5.7,2.0
Mendocino,2016-05,59.54,0.01,5.12,1.0
Mendocino,2016-06,64.63,0.01,5.39,0.55
Mendocino,2016-07,63.6,0.0,5.57,0.39
Mendocino,2016-08,61.07,0.0,4.86,0.04
Mendocino,2016-09,63.07,0.0,4.36,0.59
Mendocino,2016-10,58.38,0.17,4.0,0.83
Mendocino,2016-11,51.58,0.15,2.77,0.14
Mendocino,2016-12,43.42,0.19,3.53,0.45
Mendocino,2017-01,44.23,0.61,4.47,2.07
Mendocino,2017-02,50.1,0.52,5.82,2.49
Mendocino,2017-03,52.67,0.11,4.68,0.95
Mendocino,2017-04,55.56,0.15,5.69,1.22
Mendocino,2017-05,59.91,0.0,5.84,1.11
Mendocino,2017-06,65.69,0.01,5.7,0.72
Mendocino,2017-07,64.78,0.0,4.87,0.04
Mendocino,2017-08,63.9,0.0,4.96,0.02
Mendocino,2017-09,67.07,0.0,4.41,0.86
Mendocino,2017-10,57.24,0.01,4.13,0.81
Mendocino,2017-11,51.52,0.2,2.88,0.12
Mendocino,2017-12,42.92,0.0,2.53,0.56
Mendocino,2018-01,47.45,0.11,2.69,0.11
Mendocino,2018-02,49.11,0.01,5.17,1.38
Mendocino,2018-03,49.57,0.23,4.45,0.68
Mendocino,2018-04,53.65,0.14,4.4,0.52
Mendocino,2018-05,59.05,0.0,5.34,0.71
Mendocino,2018-06,64.48,0.0,5.39,0.78
Mendocino,2018-07,64.2,0.0,5.61,0.04
Mendocino,2018-08,62.8,0.0,4.45,0.15
Mendocino,2018-09,60.05,0.0,3.8,0.17
Mendocino,2018-10,58.37,0.02,4.02,0.3
Mendocino,2018-11,51.32,0.13,3.16,0.51
Mendocino,2018-12,47.09,0.12,3.53,0.56
Mendocino,2019-01,48.09,0.26,3.97,1.08
Mendocino,2019-02,45.43,0.6,6.11,2.86
Mendocino,2019-03,50.89,0.25,4.97,0.94
Mendocino,2019-04,57.32,0.04,5.49,1.2
Mendocino,2019-05,55.53,0.14,5.13,0.81
Mendocino,2019-06,64.56,0.0,5.72,0.79
Mendocino,2019-07,64.89,0.0,4.91,0.21
Mendocino,2019-08,66.59,0.0,4.35,0.31
Mendocino,2019-09,65.38,0.0,4.62,1.07
Mendocino,2019-10,58.62,0.0,4.42,1.6
Mendocino,2019-11,50.03,0.04,3.37,1.1
Mendocino,2019-12,48.27,0.4,3.37,0.51
Mendocino,2020-01,46.71,0.07,2.87,0.17
