Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/21/2018,AQS,180030004,3,8.6,ug/m3 LC,36,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/22/2018,AQS,180030004,3,4.9,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/23/2018,AQS,180030004,3,1.2,ug/m3 LC,5,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/24/2018,AQS,180030004,3,5,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/25/2018,AQS,180030004,3,7.2,ug/m3 LC,30,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/26/2018,AQS,180030004,3,4.7,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/27/2018,AQS,180030004,3,8.2,ug/m3 LC,34,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/28/2018,AQS,180030004,3,10.8,ug/m3 LC,45,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/29/2018,AQS,180030004,3,8.9,ug/m3 LC,37,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/30/2018,AQS,180030004,3,3,ug/m3 LC,13,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/31/2018,AQS,180030004,3,4.7,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
